STYCZEŃ,,
02.01.2021,Ziemia najbliżej Słońca (Peryhelium) (Zobacz news),14:51
03.01.2021,Maksimum meteorów z roju Kwadrantydów (ZHR:~100)(Zobacz news),
06.01.2021,Faza Księżyca - ostatnia kwadra,09:37
10.01.2021,"Koniunkcja Merkury i Saturn w odległości - 1°37`
",03:18
11.01.2021,Koniunkcja Merkury i Jowisz w odległości - 1°25`,17:20
11.01.2021,Koniunkcja Księżyc i Wenus w odległości - 1°29`,20:15
13.01.2021,Faza Księżyca - nów,05:00
13.01.2021,Koniunkcja Księżyc i Saturn w odległości - 3°11`,22:11
14.01.2021,Koniunkcja Księżyc i Jowisz w odległości - 3°15`,02:55
14.01.2021,Koniunkcja Księżyc i Merkury w odległości - 2°17`,09:28
17.01.2021,Koniunkcja Księżyc i Neptun w odległości - 4°06`,09:35
20.01.2021,Koniunkcja Mars i Uran w odległości - 1°37`,20:37
20.01.2021,Faza Księżyca - 1 kwadra,21:01
21.01.2021,Koniunkcja Księżyc i Uran w odległości -  3°03`,08:37
21.01.2021,Koniunkcja Księżyc i Mars w odległości -  4°39`,09:09
28.01.2021,Faza Księżyca - pełnia,19:16
LUTY,,
04.02.2021,Faza Księżyca - ostatnia kwadra,17:37
06.02.2021,Koniunkcja Wenus i Saturn w odległości -  0°23`,07:07
10.02.2021,Koniunkcja Księżyc i Saturn w odległości -  3°21`,12:42
10.02.2021,Koniunkcja Księżyc i Wenus w odległości -  3°08`,22:11
10.02.2021,Koniunkcja Księżyc i Jowisz w odległości -  3°34`,23:29
11.02.2021,Koniunkcja Wenus i Jowisz w odległości -  0°26`,15:00
11.02.2021,Faza Księżyca - nów,19:05
13.02.2021,Koniunkcja Merkury i Wenus w odległości -  4°34`,07:49
13.02.2021,Koniunkcja Księżyc i Neptun w odległości -  3°58`,20:11
14.02.2021,Koniunkcja Merkury i Jowisz w odległości -  3°54`,21:40
17.02.2021,Koniunkcja Księżyc i Uran w odległości -  2°48`,17:48
19.02.2021,Koniunkcja Księżyc i Mars w odległości -  3°29`,00:48
19.02.2021,Faza Księżyca - 1 kwadra,18:47
27.02.2021,Faza Księżyca - pełnia,08:17
MARZEC,,
05.03.2021,Koniunkcja Merkury i Jowisz w odległości -  0°20`,03:27
06.03.2021,Faza Księżyca - ostatnia kwadra,01:30
10.03.2021,Koniunkcja Księżyc i Saturn w odległości -  3°36`,00:45
10.03.2021,Koniunkcja Księżyc i Jowisz w odległości -  3°54`,17:58
11.03.2021,Koniunkcja Księżyc i Merkury w odległości -  3°31`,03:32
13.03.2021,Koniunkcja Księżyc i Wenus w odległości -  3°33`,03:29
13.03.2021,Koniunkcja Księżyc i Neptun w odległości -  3°54`,05:52
13.03.2021,Faza Księżyca - nów,10:21
14.03.2021,Koniunkcja Wenus i Neptun w odległości -  0°22`,04:08
17.03.2021,Koniunkcja Księżyc i Uran w odległości -  2°31`,03:37
19.03.2021,Koniunkcja Księżyc i Mars w odległości -  1°52`,18:25
20.03.2021,Astronomiczna Wiosna,09:38
21.03.2021,Faza Księżyca - 1 kwadra,14:40
28.03.2021,Faza Księżyca - pełnia,18:48
30.03.2021,Koniunkcja Merkury i Neptun w odległości -  1°17`,03:24
KWIECIEŃ,,
04.04.2021,Faza Księżyca - ostatnia kwadra,10:02
06.04.2021,Koniunkcja Księżyc i Saturn w odległości -  3°52`,10:32
07.04.2021,Koniunkcja Księżyc i Jowisz w odległości -  4°11`,10:05
09.04.2021,Koniunkcja Księżyc i Neptun w odległości -  3°57`,14:04
11.04.2021,Koniunkcja Księżyc i Merkury w odległości -  2°42`,08:46
12.04.2021,Faza Księżyca - nów,02:30
12.04.2021,Koniunkcja Księżyc i Wenus w odległości -  2°36`,12:07
13.04.2021,Koniunkcja Księżyc i Uran w odległości -  2°18`,13:18
17.04.2021,Koniunkcja Księżyc i Mars w odległości -  0°08`,12:08
20.04.2021,Faza Księżyca - 1 kwadra,06:59
21.04.2021 Maksimum meteorów z roju Lirydów (ZHR:18),
22.04.2021 Maksimum meteorów z roju Lirydów (ZHR:18),
23.04.2021,Koniunkcja Wenus i Uran w odległości - 0°14`,01:01
24.04.2021,Koniunkcja Merkury i Uran w odległości - 0°45`,06:42
25.04.2021,Koniunkcja Merkury i Wenus w odległości - 1°10`,22:20
27.04.2021,Faza Księżyca - pełnia,03:31
MAJ,,
03.05.2021,Koniunkcja Księżyc i Saturn w odległości -  4°03`,19:08
03.05.2021,Faza Księżyca - ostatnia kwadra,19:50
05.05.2021 Maksimum meteorów z roju eta Akwarydy (ZHR:60) ,
06.05.2021 Maksimum meteorów z roju eta Akwarydy (ZHR:60) ,
05.05.2021,Koniunkcja Księżyc i Jowisz w odległości -  4°21`,00:06
06.05.2021,Koniunkcja Księżyc i Neptun w odległości -  4°02`,21:17
10.05.2021,Koniunkcja Księżyc i Uran w odległości -  2°11`,22:36
11.05.2021,Faza Księżyca - nów,18:59
12.05.2021,Koniunkcja Księżyc i Wenus w odległości -  0°41`,22:21
13.05.2021,Koniunkcja Księżyc i Merkury w odległości -  2°06`,18:33
16.05.2021,Koniunkcja Księżyc i Mars w odległości -  1°29`,05:06
19.05.2021,Faza Księżyca - 1 kwadra,19:12
23.05.2021 Maksimum meteorów z roju roju Camelopardalidów (ZHR: zmienne),
24.05.2021 Maksimum meteorów z roju roju Camelopardalidów (ZHR: zmienne),
26.05.2021,Faza Księżyca - pełnia,11:14
29.05.2021,Koniunkcja Merkury i Wenus w odległości -  0°25`,05:13
31.05.2021,Koniunkcja Księżyc i Saturn w odległości -  4°04`,03:25
CZERWIEC,,
01.06.2021,Koniunkcja Księżyc i Jowisz w odległości -  4°21`,12:04
02.06.2021,Faza Księżyca - ostatnia kwadra,07:24
03.06.2021,Koniunkcja Księżyc i Neptun w odległości -  4°04`,04:31
07.06.2021,Koniunkcja Księżyc i Uran w odległości -  2°05`,07:39
10.06.2021,Faza Księżyca - nów,10:52
10.06.2021,"Zaćmienie Słońca (W Polsce płytkie zaćmienie częściowe - faza 0,197)(Podgląd zjawiska)",10:54
10.06.2021,Koniunkcja Księżyc i Merkury w odległości -  3°55`,12:37
12.06.2021,Koniunkcja Księżyc i Wenus w odległości -  1°29`,06:59
13.06.2021,Koniunkcja Księżyc i Mars w odległości -  2°46`,21:08
18.06.2021,Faza Księżyca - 1 kwadra,03:54
21.06.2021,Astronomiczne lato,03:32
24.06.2021,Faza Księżyca - pełnia,18:39
27.06.2021,Koniunkcja Księżyc i Saturn w odległości -  3°55`,11:23
28.06.2021,Koniunkcja Księżyc i Jowisz w odległości -  4°11`,21:33
28.06.2021,Maksimum meteorów z roju Czerwcowe Bootydy  (ZHR: zmienne),
30.06.2021,Koniunkcja Księżyc i Neptun w odległości -  3°58`,12:25
LIPIEC,,
01.07.2021,Faza Księżyca - ostatnia kwadra,21:10
04.07.2021,Koniunkcja Księżyc i Uran w odległości -  1°56`,16:41
06.07.2021,Ziemia najdalej Słońca (Aphelium) ,00:27
08.07.2021,Koniunkcja Księżyc i Merkury w odległości -  3°44`,04:20
10.07.2021,Faza Księżyca - nów,01:16
12.07.2021,Koniunkcja Księżyc i Wenus w odległości -  3°08`,11:14
12.07.2021,Koniunkcja Księżyc i Mars w odległości -  3°38`,12:29
13.07.2021,Koniunkcja Wenus i Mars w odległości -  0°28`,13:33
17.07.2021,Faza Księżyca - 1 kwadra,10:10
18.07.2021,Pluton w opozycji,
24.07.2021,Faza Księżyca - pełnia,02:36
24.07.2021,Koniunkcja Księżyc i Saturn w odległości -  3°43`,18:25
26.07.2021,Koniunkcja Księżyc i Jowisz w odległości -  3°55`,03:56
27.07.2021,Koniunkcja Księżyc i Neptun w odległości -  3°48`,20:47
28.07.2021,Maksimum meteorów z roju Południowych delta Akwarydów (ZHR:20),
31.07.2021,Faza Księżyca - ostatnia kwadra ,13:16
SIERPIEŃ,,
01.08.2021,Koniunkcja Księżyc i Uran w odległości -  1°41`,01:34
02.08.2021,Saturn w opozycji,
08.08.2021,Faza Księżyca - nów,13:50
09.08.2021,Koniunkcja Księżyc i Merkury w odległości -  3°13`,05:45
10.08.2021,Koniunkcja Księżyc i Mars w odległości -  4°00`,03:42
11.08.2021,Koniunkcja Księżyc i Wenus w odległości -  3°54`,10:16
11.08.2021  Duża aktywność meteorów z roju Perseidów,
12.08.2021 Maksimum meteorów z roju Perseidów (ZHR: ~100!),
13.08.2021 Maksimum meteorów z roju Perseidów (ZHR: ~100!),
14.08.2021,021  Duża aktywność meteorów z roju Perseidów,
15.08.2021,Faza Księżyca - 1 kwadra,15:19
19.08.2021,Koniunkcja Merkury i Mars w odległości -  0°04`,03:28
20.08.2021,Jowisz w opozycji,
20.08.2021,Koniunkcja Księżyc i Saturn w odległości -  3°37`,23:56
22.08.2021,Koniunkcja Księżyc i Jowisz w odległości -  3°45`,07:19
22.08.2021,Faza Księżyca - pełnia,12:02
24.08.2021,Koniunkcja Księżyc i Neptun w odległości -  3°40`,04:50
28.08.2021,Koniunkcja Księżyc i Uran w odległości -  1°26`,09:52
30.08.2021,Faza Księżyca - ostatnia kwadra,07:13
WRZESIEŃ,,
07.09.2021,Faza Księżyca - nów,00:51
07.09.2021,Koniunkcja Księżyc i Mars w odległości -  3°51`,19:24
10.09.2021,Koniunkcja Księżyc i Wenus w odległości -  3°43`,04:48
13.09.2021,Faza Księżyca - 1 kwadra,20:39
14.09.2021,Neptun w opozycji,
17.09.2021,Koniunkcja Księżyc i Saturn w odległości -  3°40`,04:14
18.09.2021,Koniunkcja Księżyc i Jowiszn w odległości -  3°46`,09:14
20.09.2021,Koniunkcja Księżyc i Neptun w odległości -  3°38`,11:40
20.09.2021,Faza Księżyca - pełnia,23:54
22.09.2021,Astronomiczna jesień,19:21
24.09.2021,Koniunkcja Księżyc i Uran w odległości -  1°15`,16:56
29.09.2021,Faza Księżyca - ostatnia kwadra ,01:57
PAŹDZIERNIK,K,
06.10.2021,Faza Księżyca - nów,11:05
06.10.2021,Koniunkcja Księżyc i Mars w odległości -  3°12`,12:04
08.10.2021,Maksimum meteorów z roju Drakonidów (ZHR: zmienne),
09.10.2021,Koniunkcja Księżyc i Wenus w odległości -  2°45`,19:37
09.10.2021,Koniunkcja Merkury i Mars w odległości -  2°27`,22:49
13.10.2021,Faza Księżyca - 1 kwadra,03:25
14.10.2021,Koniunkcja Księżyc i Saturn w odległości -  3°51`,08:54
15.10.2021,Koniunkcja Księżyc i Jowisz w odległości -  3°56`,12:29
17.10.2021,Koniunkcja Księżyc i Neptun w odległości -  3°44`,17:00
20.10.2021,Faza Księżyca - pełnia,14:56
21.10.2021,Koniunkcja Księżyc i Uran w odległości -  1°14`,22:28
21.10.2021,Maksimum meteorów z roju Orionidów (ZHR: 30) ,
28.10.2021,Faza Księżyca - ostatnia kwadra ,20:05
LISTOPAD,,
03.11.2021,Koniunkcja Księżyc i Merkury w odległości -  1°06`,19:27
04.11.2021,Koniunkcja Księżyc i Mars w odległości -  2°06`,05:56
04.11.2021,Faza Księżyca - nów,21:14
05.11.2021,Uran w opozycji,
08.11.2021,Koniunkcja Księżyc i Wenus w odległości -  1°06`,05:19
10.11.2021,Koniunkcja Merkury i Mars w odległości -  0°58`,12:57
10.11.2021,Koniunkcja Księżyc i Saturn w odległości -  4°01`,16:15
11.11.2021,"Faza Księżyca - 1 kwadra
",12:46
11.11.2021,Koniunkcja Księżyc i Jowisz w odległości -  4°08`,19:52
13.11.2021,Koniunkcja Księżyc i Neptun w odległości -  3°51`,21:46
17.11.2021 Maksimum meteorów z roju Leonidów (ZHR: zmienne),
18.11.2021 Maksimum meteorów z roju Leonidów (ZHR: zmienne),
18.11.2021,Koniunkcja Księżyc i Uran w odległości -  1°21`,02:44
19.11.2021,"Faza Księżyca - pełnia
",08:57
27.11.2021,Faza Księżyca - ostatnia kwadra,12:27
GRUDZIEŃ,,
03.12.2021,Koniunkcja Księżyc i Mars w odległości -  0°39`,00:45
04.12.2021,Całkowite Zaćmienie Słońca (Antarktyda),07:34
04.12.2021,Faza Księżyca - nów,07:43
04.12.2021,Koniunkcja Księżyc i Merkury w odległości -  0°01`,12:43
07.12.2021,Koniunkcja Księżyc i Wenus w odległości -  1°52`,01:21
08.12.2021,Koniunkcja Księżyc i Saturn w odległości -  4°05`,03:43
09.12.2021,Koniunkcja Księżyc i Jowisz w odległości -  4°14`,08:53
11.12.2021,Faza Księżyca - 1 kwadra,01:35
11.12.2021,Koniunkcja Księżyc i Neptun w odległości -  3°51`,03:50
13/14.12.2021,021  Maksimum meteorów z roju Geminidów (ZHR:120) ,
15.12.2021,Koniunkcja Księżyc i Uran w odległości - 1°26`,06:51
19.12.2021,Faza Księżyca - pełnia,04:35
21.12.2021,Astronomiczna zima,15:59
22.12.2021,Maksimum meteorów z roju Ursydów (ZHR:10) ,
27.12.2021,Faza Księżyca - ostatnia kwadra,02:23
29.12.2021,Koniunkcja Merkury i Wenus w odległości - 4°14`,10:28
31.12.2021,Koniunkcja Księżyc i Mars w odległości - 0°56`,20:01
